"Timestamp","Idade","Sexo","Cidade","País","Investe atualmente no mercado financeiro ?","Caso tenha respondido que não na pergunta acima, já investiu no passado ?","Quando começou a investir ?","Ano que começou a investir ","Quanto está disposto a investir ?","Qual a plataforma que usa para investir","Qual o risco que está disposto a tomar ?","Qual o nível de conhecimento investimentos financeiros que considera ter ? ","Qual o tipo de investimentos que faz","Qual o retorno em %(percentagem) que espera ter anualmente ?","Qual a razão para ter começado em investir ?"
"2021/02/22 10:47:16 pm GMT","28","Masculino","Lisboa","Portugal","Sim","","Depois da pandemia","2020","0€ a 5000€","Revolut","4","Rudimentar","Ações","5%","Passatempo/Diversão"
"2021/02/23 2:15:23 pm GMT","20","Masculino","Lisboa","Portugal","Não","","Não se aplica","NaN","Não se aplica","Não se aplica","3","Rudimentar","Não se aplica","NaN","Ouvi nas notícias/redes socias e decidi experimentar"
"2021/02/23 2:25:39 pm GMT","35","Masculino","Lisboa","Portugal","Sim","","Antes da pandemia ( Março de 2020 )","2016","5000€ a 10 000€","Binance","4","Intermédio","Criptomoeda","80%","Aumentar os rendimentos anuais como part-time"
"2021/02/23 2:58:12 pm GMT","22","Masculino","Setúbal ","Portugal","Não","","Não se aplica","","0€ a 5000€","Webull","3","Principiante","Não se aplica","","Não se aplica"
"2021/02/23 3:14:38 pm GMT","22","Masculino","Lisboa ","Portugal ","Não","","Não se aplica","","Não se aplica","Não se aplica","2","Rudimentar","Não se aplica","","Não se aplica"
"2021/02/23 3:15:17 pm GMT","24","Masculino","Lisboa","Portugal","Sim","","Antes da pandemia ( Março de 2020 )","2019","0€ a 5000€","Degiro","3","Intermédio","Ações","5-10%","Aumentar os rendimentos anuais como part-time"
"2021/02/23 3:17:12 pm GMT","22","Masculino","Lisboa","Portugal","Não","","Não se aplica","","Não se aplica","Não se aplica","","Rudimentar","Não se aplica","","Não se aplica"
"2021/02/23 3:19:36 pm GMT","22","Masculino","Portimão","Portugal","Não","","Não se aplica","","Não se aplica","Não se aplica","3","Principiante","Não se aplica","","Não se aplica"
"2021/02/23 3:20:18 pm GMT","23","Masculino","Lisboa","Portugal","Sim","","Depois da pandemia","2020","0€ a 5000€","Revolut; CRYPTO","4","Principiante","Ações e Criptomoeda ","15","Passatempo/Diversão"
"2021/02/23 3:21:36 pm GMT","27","Feminino","Amora","Portugal","Não","","Não se aplica","","0€ a 5000€","Não se aplica","3","Rudimentar","Não se aplica","","Aumentar os rendimentos anuais como part-time;Passatempo/Diversão;Ouvi nas notícias/redes socias e decidi experimentar"
"2021/02/23 3:22:27 pm GMT","27","Masculino","Lisboa","Portugal","Sim","","Depois da pandemia","2021","10 000€ a 25 000€","Degiro","3","Principiante","Criptomoeda;Ações","","Aumentar os rendimentos anuais como part-time"
"2021/02/23 3:24:09 pm GMT","23","Masculino","Amora","Portugal","Não","","Não se aplica","","0€ a 5000€","Não se aplica","3","Principiante","Ações;Fundos de ações;Índices ( Por ex: PSI 20, S&P 500, Nasdaq etc. );Forex","5","Não se aplica"
"2021/02/23 3:24:26 pm GMT","25","Masculino","Lisboa","Portugal","Sim","","Antes da pandemia ( Março de 2020 )","2019","0€ a 5000€","Degiro;Binance;Kraken","3","Intermédio","Criptomoeda;Ações;Índices ( Por ex: PSI 20, S&P 500, Nasdaq etc. )","128%","Aumentar os rendimentos anuais como part-time"
"2021/02/23 3:26:24 pm GMT","25","Masculino","Lisboa","Portugal","Sim","","Antes da pandemia ( Março de 2020 )","2019","0€ a 5000€","Degiro;Etoro;Binance;Revolut","3","Principiante","Criptomoeda;Ações;Índices ( Por ex: PSI 20, S&P 500, Nasdaq etc. )","20%","Investimento a longo prazo para enriquecer."
"2021/02/23 3:33:59 pm GMT","30","Masculino","Cacais","Portugal","Sim","","Depois da pandemia","2021","5000€ a 10 000€","Degiro;Trading 212;Binance;Revolut","3","Principiante","Criptomoeda;Ações;Índices ( Por ex: PSI 20, S&P 500, Nasdaq etc. )","16","Vencer a inflação e juntar para projetos futuros"
